"ID","SCLC2001","SCLC2002","SCLC2003","SCLC2004","SCLC2005","SCLC2006","SCLC2007","SCLC2008","SCLC2009","SCLC2010","SCLC2011","SCLC2012","SCLC2013","SCLC2014","SCLC2015","SCLC2016","SCLC2017","SCLC2018","SCLC2019","SCLC2020","SCLC2021","SCLC2022","SCLC2023"
14799,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
14800,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
14801,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
14802,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
14803,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
14804,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","Increase_actorCount_Increase_percNeg","Decrease_actorCount_Decrease_percNeg","NA_NA"
14805,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
14806,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
14807,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
14808,"NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA","NA_NA"
